Mon Jul 28 16:31:13 2025    timing.txt

         217305285 function calls (215635255 primitive calls) in 129.647 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2592    0.029    0.000    0.106    0.000 backend_utils.py:518(circuit_optypes)
    62084    0.064    0.000    0.104    0.000 bit.py:31(__init__)
      224    0.000    0.000    0.101    0.000 measures.py:371(_input_formatter)
      120    0.003    0.000    0.100    0.001 artist.py:1593(pprint_setters)
     5185    0.008    0.000    0.097    0.000 quantumcircuit.py:3840(measure)
        1    0.000    0.000    0.095    0.095 pyplot.py:872(figure)
        1    0.000    0.000    0.095    0.095 pyplot.py:549(new_figure_manager)
     2592    0.026    0.000    0.095    0.000 aer_compiler.py:775(_iter_var_recursive)
     7412    0.020    0.000    0.095    0.000 quantumcircuit.py:6795(_copy_metadata)
76253/76201    0.037    0.000    0.094    0.000 {method '__reduce_ex__' of 'object' objects}
  1023170    0.092    0.000    0.092    0.000 {method 'append' of 'list' objects}
   311450    0.042    0.000    0.091    0.000 high_level_synthesis.py:315(<genexpr>)
        1    0.000    0.000    0.090    0.090 backend_bases.py:3494(new_figure_manager)
        1    0.000    0.000    0.090    0.090 backend_bases.py:3503(new_figure_manager_given_figure)
        1    0.000    0.000    0.090    0.090 backend_bases.py:1772(new_manager)
        1    0.059    0.059    0.090    0.090 backend_bases.py:2646(create_with_canvas)
     2616    0.001    0.000    0.089    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
    12217    0.003    0.000    0.089    0.000 instruction.py:542(copy)
     2616    0.003    0.000    0.088    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
       56    0.001    0.000    0.087    0.002 quantum_error.py:274(to_quantumchannel)
     2593    0.001    0.000    0.087    0.000 passmanager.py:57(_passmanager_frontend)
 1456/376    0.003    0.000    0.087    0.000 superop.py:64(__init__)
     2602    0.003    0.000    0.086    0.000 circuit_to_dag.py:19(circuit_to_dag)
      264    0.001    0.000    0.085    0.000 superop.py:297(_init_instruction)
   107775    0.061    0.000    0.084    0.000 parameterexpression.py:115(__init__)
    10084    0.005    0.000    0.083    0.000 __init__.py:330(_compile)
     2602    0.054    0.000    0.082    0.000 {built-in method converters.circuit_to_dag}
     2592    0.016    0.000    0.082    0.000 full_ancilla_allocation.py:50(run)
        3    0.000    0.000    0.082    0.027 _base.py:1(<module>)
     4409    0.006    0.000    0.082    0.000 artist.py:1461(get_valid_values)
    77148    0.033    0.000    0.081    0.000 parameterexpression.py:305(_raise_if_passed_nan)
   171642    0.039    0.000    0.081    0.000 {method 'send' of 'generator' objects}
     7892    0.031    0.000    0.078    0.000 parameterexpression.py:332(_apply_operation)
    41941    0.021    0.000    0.078    0.000 pauli.py:164(__init__)
        1    0.000    0.000    0.078    0.078 linear_function.py:1(<module>)
     3192    0.012    0.000    0.076    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
    17794    0.012    0.000    0.076    0.000 uuid.py:710(uuid4)
    12285    0.006    0.000    0.076    0.000 instruction.py:559(__deepcopy__)
      428    0.001    0.000    0.075    0.000 _compiler.py:743(compile)
       15    0.000    0.000    0.074    0.005 dataclasses.py:185(create_dataclass)
    90148    0.042    0.000    0.073    0.000 parameterexpression.py:297(_raise_if_passed_unknown_parameters)
    85552    0.026    0.000    0.073    0.000 base_operator.py:30(__init__)
    10368    0.018    0.000    0.073    0.000 _arraypad_impl.py:470(_as_pairs)
     2592    0.025    0.000    0.069    0.000 cutting_experiments.py:402(_remove_resets_in_zero_state)
        1    0.000    0.000    0.069    0.069 environment_options.py:1(<module>)
       15    0.000    0.000    0.068    0.005 _dataclasses.py:87(complete_dataclass)
  1126807    0.068    0.000    0.068    0.000 {built-in method builtins.id}
     5247    0.002    0.000    0.067    0.000 optimize_1q_decomposition.py:204(run)
        1    0.000    0.000    0.066    0.066 polyfuncs.py:1(<module>)
     5247    0.066    0.000    0.066    0.000 {optimize_1q_gates_decomposition}
        1    0.000    0.000    0.066    0.066 specialpolys.py:1(<module>)
     7674    0.036    0.000    0.065    0.000 inspect.py:891(cleandoc)
    71486    0.056    0.000    0.064    0.000 {method '_apply_op_node_back' of 'qiskit._accelerate.circuit.DAGCircuit' objects}
     2859    0.001    0.000    0.064    0.000 __init__.py:287(compile)
        1    0.000    0.000    0.063    0.063 colorbar.py:1(<module>)
   101427    0.043    0.000    0.063    0.000 register.py:146(__getitem__)
        1    0.000    0.000    0.063    0.063 z2_symmetries.py:1(<module>)
        1    0.000    0.000    0.063    0.063 transpiler.py:1(<module>)
    35570    0.032    0.000    0.062    0.000 gate.py:190(broadcast_arguments)
    96347    0.030    0.000    0.061    0.000 base_tasks.py:120(update_status)
        1    0.000    0.000    0.061    0.061 rings.py:1(<module>)
     2592    0.008    0.000    0.061    0.000 models.py:210(from_dict)
    71486    0.030    0.000    0.059    0.000 {built-in method from_instruction}
        1    0.000    0.000    0.059    0.059 rcsetup.py:1(<module>)
    36416    0.027    0.000    0.059    0.000 basepasses.py:213(update_status)
     5193    0.030    0.000    0.057    0.000 quantumcircuit.py:3098(add_bits)
     7632    0.003    0.000    0.056    0.000 inspect.py:872(getdoc)
    51873    0.021    0.000    0.056    0.000 quantumcircuit.py:2382(_qbit_argument_conversion)
